frame_key,video_id,timestamp,num_objects_detected,num_interactions,interacting_objects,verbs,target_object,target_verb,target_pair
44_5566,44,185.533,9,1,['high_voltage_board'],['decontact'],high_voltage_board,decontact,decontact__high_voltage_board
44_5614,44,187.133,10,1,['high_voltage_board'],['first_contact'],high_voltage_board,first_contact,first_contact__high_voltage_board
44_5759,44,191.966,7,1,['high_voltage_board'],['release'],high_voltage_board,release,release__high_voltage_board
44_6012,44,200.4,4,1,['socket_3'],['first_contact'],socket_3,first_contact,first_contact__socket_3
44_6044,44,201.466,4,1,['socket_3'],['decontact'],socket_3,decontact,decontact__socket_3
44_6122,44,204.066,8,1,['welder_station'],['first_contact'],welder_station,first_contact,first_contact__welder_station
44_6561,44,218.7,9,1,['welder_station'],['decontact'],welder_station,decontact,decontact__welder_station
44_6690,44,223.0,8,1,['pliers'],['take'],pliers,take,take__pliers
44_7208,44,240.266,7,1,['welder_probe_tip'],['take'],welder_probe_tip,take,take__welder_probe_tip
44_8627,44,287.566,7,1,['welder_probe_tip'],['release'],welder_probe_tip,release,release__welder_probe_tip
44_9412,44,313.733,9,1,['welder_probe_tip'],['take'],welder_probe_tip,take,take__welder_probe_tip
44_11165,44,372.166,8,1,['welder_probe_tip'],['release'],welder_probe_tip,release,release__welder_probe_tip
44_11448,44,381.6,7,1,['welder_station'],['first_contact'],welder_station,first_contact,first_contact__welder_station
44_11576,44,385.866,7,1,['welder_station'],['decontact'],welder_station,decontact,decontact__welder_station
44_11672,44,389.066,4,1,['socket_3'],['first_contact'],socket_3,first_contact,first_contact__socket_3
44_11711,44,390.366,5,1,['socket_3'],['decontact'],socket_3,decontact,decontact__socket_3
44_12026,44,400.866,9,1,['high_voltage_board'],['decontact'],high_voltage_board,decontact,decontact__high_voltage_board
44_12048,44,401.6,8,1,['electric_screwdriver'],['take'],electric_screwdriver,take,take__electric_screwdriver
44_12396,44,413.2,7,1,['high_voltage_board'],['decontact'],high_voltage_board,decontact,decontact__high_voltage_board
44_12433,44,414.433,5,1,['high_voltage_board'],['first_contact'],high_voltage_board,first_contact,first_contact__high_voltage_board
44_13102,44,436.733,5,1,['high_voltage_board'],['decontact'],high_voltage_board,decontact,decontact__high_voltage_board
44_13850,44,461.666,4,1,['socket_1'],['first_contact'],socket_1,first_contact,first_contact__socket_1
44_13865,44,462.166,3,1,['socket_1'],['decontact'],socket_1,decontact,decontact__socket_1
44_13973,44,465.766,3,1,['power_supply'],['first_contact'],power_supply,first_contact,first_contact__power_supply
44_14056,44,468.533,3,1,['power_supply'],['decontact'],power_supply,decontact,decontact__power_supply
44_14119,44,470.633,3,1,['power_supply'],['first_contact'],power_supply,first_contact,first_contact__power_supply
44_14387,44,479.566,3,1,['power_supply'],['decontact'],power_supply,decontact,decontact__power_supply
44_14662,44,488.733,7,1,['high_voltage_board'],['decontact'],high_voltage_board,decontact,decontact__high_voltage_board
44_14914,44,497.133,4,1,['socket_2'],['first_contact'],socket_2,first_contact,first_contact__socket_2
44_14950,44,498.333,3,1,['socket_2'],['decontact'],socket_2,decontact,decontact__socket_2
44_15163,44,505.433,5,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
44_15357,44,511.9,4,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_15547,44,518.233,6,1,['high_voltage_board'],['first_contact'],high_voltage_board,first_contact,first_contact__high_voltage_board
44_15591,44,519.7,7,1,['high_voltage_board'],['decontact'],high_voltage_board,decontact,decontact__high_voltage_board
44_16035,44,534.5,6,1,['high_voltage_board'],['decontact'],high_voltage_board,decontact,decontact__high_voltage_board
44_16117,44,537.233,4,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
44_16424,44,547.466,4,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_17163,44,572.1,5,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_17350,44,578.333,4,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_18300,44,610.0,5,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
44_18329,44,610.966,4,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_18631,44,621.033,4,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_19138,44,637.933,4,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
44_19204,44,640.133,4,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_19388,44,646.266,4,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
44_19470,44,649.0,5,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_19849,44,661.633,5,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
44_19879,44,662.633,4,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_20073,44,669.1,4,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
44_20124,44,670.8,4,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_20410,44,680.333,3,1,['socket_1'],['first_contact'],socket_1,first_contact,first_contact__socket_1
44_20524,44,684.133,4,1,['socket_1'],['decontact'],socket_1,decontact,decontact__socket_1
44_20650,44,688.333,4,1,['power_supply'],['first_contact'],power_supply,first_contact,first_contact__power_supply
44_20695,44,689.833,3,1,['power_supply'],['decontact'],power_supply,decontact,decontact__power_supply
44_20709,44,690.3,3,1,['power_supply'],['first_contact'],power_supply,first_contact,first_contact__power_supply
44_20765,44,692.166,3,1,['power_supply'],['decontact'],power_supply,decontact,decontact__power_supply
44_20884,44,696.133,8,1,['power_supply_cables'],['first_contact'],power_supply_cables,first_contact,first_contact__power_supply_cables
44_20926,44,697.533,10,1,['oscilloscope_ground_clip'],['take'],oscilloscope_ground_clip,take,take__oscilloscope_ground_clip
44_21088,44,702.933,8,1,['oscilloscope_probe_tip'],['release'],oscilloscope_probe_tip,release,release__oscilloscope_probe_tip
44_21102,44,703.4,8,1,['power_supply_cables'],['take'],power_supply_cables,take,take__power_supply_cables
44_21134,44,704.466,9,1,['power_supply_cables'],['release'],power_supply_cables,release,release__power_supply_cables
44_21146,44,704.866,8,1,['power_supply_cables'],['take'],power_supply_cables,take,take__power_supply_cables
44_21171,44,705.7,8,1,['high_voltage_board'],['decontact'],high_voltage_board,decontact,decontact__high_voltage_board
44_21372,44,712.4,6,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
44_21391,44,713.033,4,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_21427,44,714.233,6,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
44_21465,44,715.5,5,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_21492,44,716.4,4,1,['socket_2'],['first_contact'],socket_2,first_contact,first_contact__socket_2
44_21507,44,716.9,4,1,['socket_2'],['decontact'],socket_2,decontact,decontact__socket_2
44_21892,44,729.733,5,1,['high_voltage_board'],['decontact'],high_voltage_board,decontact,decontact__high_voltage_board
44_22169,44,738.966,2,1,['socket_4'],['first_contact'],socket_4,first_contact,first_contact__socket_4
44_22198,44,739.933,3,1,['socket_4'],['decontact'],socket_4,decontact,decontact__socket_4
44_22209,44,740.3,2,1,['socket_3'],['first_contact'],socket_3,first_contact,first_contact__socket_3
44_22248,44,741.6,4,1,['socket_3'],['decontact'],socket_3,decontact,decontact__socket_3
44_22337,44,744.566,7,1,['welder_station'],['first_contact'],welder_station,first_contact,first_contact__welder_station
44_22728,44,757.6,7,1,['welder_station'],['decontact'],welder_station,decontact,decontact__welder_station
44_23488,44,782.933,6,1,['welder_probe_tip'],['take'],welder_probe_tip,take,take__welder_probe_tip
44_24350,44,811.666,6,1,['welder_probe_tip'],['release'],welder_probe_tip,release,release__welder_probe_tip
44_25767,44,858.9,8,1,['welder_probe_tip'],['release'],welder_probe_tip,release,release__welder_probe_tip
44_25881,44,862.7,8,1,['pliers'],['decontact'],pliers,decontact,decontact__pliers
44_26001,44,866.7,8,1,['welder_station'],['first_contact'],welder_station,first_contact,first_contact__welder_station
44_26141,44,871.366,7,1,['welder_station'],['decontact'],welder_station,decontact,decontact__welder_station
44_26249,44,874.966,4,1,['socket_3'],['first_contact'],socket_3,first_contact,first_contact__socket_3
44_26268,44,875.6,4,1,['socket_3'],['decontact'],socket_3,decontact,decontact__socket_3
44_26481,44,882.7,6,1,['high_voltage_board'],['decontact'],high_voltage_board,decontact,decontact__high_voltage_board
44_26501,44,883.366,7,1,['electric_screwdriver'],['take'],electric_screwdriver,take,take__electric_screwdriver
44_26716,44,890.533,5,1,['high_voltage_board'],['first_contact'],high_voltage_board,first_contact,first_contact__high_voltage_board
44_27093,44,903.1,10,1,['electric_screwdriver'],['release'],electric_screwdriver,release,release__electric_screwdriver
44_27163,44,905.433,4,1,['socket_1'],['first_contact'],socket_1,first_contact,first_contact__socket_1
44_27179,44,905.966,4,1,['socket_1'],['decontact'],socket_1,decontact,decontact__socket_1
44_27288,44,909.6,4,1,['power_supply'],['first_contact'],power_supply,first_contact,first_contact__power_supply
44_27377,44,912.566,3,1,['power_supply'],['decontact'],power_supply,decontact,decontact__power_supply
44_27440,44,914.666,3,1,['power_supply'],['first_contact'],power_supply,first_contact,first_contact__power_supply
44_27652,44,921.733,3,1,['power_supply'],['decontact'],power_supply,decontact,decontact__power_supply
44_27793,44,926.433,6,1,['high_voltage_board'],['first_contact'],high_voltage_board,first_contact,first_contact__high_voltage_board
44_27913,44,930.433,9,1,['high_voltage_board'],['decontact'],high_voltage_board,decontact,decontact__high_voltage_board
44_28188,44,939.6,3,1,['socket_2'],['first_contact'],socket_2,first_contact,first_contact__socket_2
44_28213,44,940.433,3,1,['socket_2'],['decontact'],socket_2,decontact,decontact__socket_2
44_28579,44,952.633,5,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
44_28665,44,955.5,6,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_28966,44,965.533,7,1,['high_voltage_board'],['first_contact'],high_voltage_board,first_contact,first_contact__high_voltage_board
44_29014,44,967.133,8,1,['high_voltage_board'],['decontact'],high_voltage_board,decontact,decontact__high_voltage_board
44_29591,44,986.366,4,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_30011,44,1000.366,5,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
44_30029,44,1000.966,4,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_30317,44,1010.566,5,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
44_30345,44,1011.5,4,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_30650,44,1021.666,9,1,['oscilloscope_probe_tip'],['release'],oscilloscope_probe_tip,release,release__oscilloscope_probe_tip
44_30686,44,1022.866,5,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
44_30711,44,1023.7,4,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_30967,44,1032.233,5,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
44_31052,44,1035.066,4,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_31393,44,1046.433,5,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
44_31413,44,1047.099,5,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_31651,44,1055.033,5,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
44_31712,44,1057.066,5,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_32028,44,1067.6,5,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
44_32053,44,1068.433,5,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_32278,44,1075.933,5,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
44_32349,44,1078.3,4,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_32747,44,1091.566,5,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
44_32764,44,1092.133,5,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_33018,44,1100.6,5,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_33258,44,1108.6,4,1,['socket_2'],['first_contact'],socket_2,first_contact,first_contact__socket_2
44_33366,44,1112.2,3,1,['socket_2'],['decontact'],socket_2,decontact,decontact__socket_2
44_33498,44,1116.6,4,1,['socket_1'],['first_contact'],socket_1,first_contact,first_contact__socket_1
44_33521,44,1117.366,3,1,['socket_1'],['decontact'],socket_1,decontact,decontact__socket_1
44_33614,44,1120.466,4,1,['power_supply'],['first_contact'],power_supply,first_contact,first_contact__power_supply
44_33717,44,1123.9,3,1,['power_supply'],['decontact'],power_supply,decontact,decontact__power_supply
44_33959,44,1131.966,7,1,['high_voltage_board'],['decontact'],high_voltage_board,decontact,decontact__high_voltage_board
44_33992,44,1133.066,8,1,['oscilloscope_probe_tip'],['take'],oscilloscope_probe_tip,take,take__oscilloscope_probe_tip
44_34123,44,1137.433,8,1,['power_supply_cables'],['take'],power_supply_cables,take,take__power_supply_cables
44_34398,44,1146.6,6,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
44_34427,44,1147.566,4,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_34482,44,1149.4,5,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
44_34511,44,1150.366,3,1,['socket_2'],['first_contact'],socket_2,first_contact,first_contact__socket_2
44_34558,44,1151.933,4,1,['socket_2'],['decontact'],socket_2,decontact,decontact__socket_2
44_34821,44,1160.7,6,1,['high_voltage_board'],['decontact'],high_voltage_board,decontact,decontact__high_voltage_board
44_34862,44,1162.066,8,1,['high_voltage_board'],['decontact'],high_voltage_board,decontact,decontact__high_voltage_board
44_34951,44,1165.033,7,1,['high_voltage_board'],['take'],high_voltage_board,take,take__high_voltage_board
44_36481,44,1216.033,4,1,['socket_4'],['first_contact'],socket_4,first_contact,first_contact__socket_4
44_36504,44,1216.8,4,1,['socket_4'],['decontact'],socket_4,decontact,decontact__socket_4
44_36707,44,1223.566,3,1,['register'],['first_contact'],register,first_contact,first_contact__register
44_37252,44,1241.733,3,1,['register'],['decontact'],register,decontact,decontact__register
44_37529,44,1250.966,5,1,['left_red_button'],['first_contact'],left_red_button,first_contact,first_contact__left_red_button
44_37551,44,1251.7,4,1,['left_red_button'],['decontact'],left_red_button,decontact,decontact__left_red_button
44_37565,44,1252.166,4,1,['right_red_button'],['first_contact'],right_red_button,first_contact,first_contact__right_red_button
44_37576,44,1252.533,4,1,['right_red_button'],['decontact'],right_red_button,decontact,decontact__right_red_button
46_842,46,28.066,4,1,['left_green_button'],['first_contact'],left_green_button,first_contact,first_contact__left_green_button
46_856,46,28.533,4,1,['left_green_button'],['decontact'],left_green_button,decontact,decontact__left_green_button
46_881,46,29.366,4,1,['right_green_button'],['first_contact'],right_green_button,first_contact,first_contact__right_green_button
46_890,46,29.666,5,1,['right_green_button'],['decontact'],right_green_button,decontact,decontact__right_green_button
46_1465,46,48.833,13,1,['low_voltage_board'],['take'],low_voltage_board,take,take__low_voltage_board
46_1760,46,58.666,7,1,['battery_connector'],['take'],battery_connector,take,take__battery_connector
46_1815,46,60.5,7,1,['electric_screwdriver_battery'],['take'],electric_screwdriver_battery,take,take__electric_screwdriver_battery
46_1853,46,61.766,8,1,['electric_screwdriver'],['take'],electric_screwdriver,take,take__electric_screwdriver
46_1954,46,65.133,9,1,['electric_screwdriver'],['first_contact'],electric_screwdriver,first_contact,first_contact__electric_screwdriver
46_2037,46,67.9,7,1,['electric_screwdriver'],['decontact'],electric_screwdriver,decontact,decontact__electric_screwdriver
46_2494,46,83.133,8,1,['low_voltage_board'],['take'],low_voltage_board,take,take__low_voltage_board
46_2644,46,88.133,9,1,['low_voltage_board'],['release'],low_voltage_board,release,release__low_voltage_board
46_2709,46,90.3,9,1,['low_voltage_board'],['first_contact'],low_voltage_board,first_contact,first_contact__low_voltage_board
46_2759,46,91.966,9,1,['low_voltage_board'],['decontact'],low_voltage_board,decontact,decontact__low_voltage_board
46_2789,46,92.966,9,1,['electric_screwdriver'],['take'],electric_screwdriver,take,take__electric_screwdriver
46_3122,46,104.066,8,1,['low_voltage_board'],['first_contact'],low_voltage_board,first_contact,first_contact__low_voltage_board
46_3434,46,114.466,9,1,['low_voltage_board'],['first_contact'],low_voltage_board,first_contact,first_contact__low_voltage_board
46_3873,46,129.1,4,1,['socket_1'],['first_contact'],socket_1,first_contact,first_contact__socket_1
46_3885,46,129.5,4,1,['socket_1'],['decontact'],socket_1,decontact,decontact__socket_1
46_4077,46,135.9,4,1,['power_supply'],['first_contact'],power_supply,first_contact,first_contact__power_supply
46_4517,46,150.566,4,1,['power_supply'],['decontact'],power_supply,decontact,decontact__power_supply
46_4644,46,154.8,10,1,['power_supply_cables'],['take'],power_supply_cables,take,take__power_supply_cables
46_4971,46,165.7,11,1,['power_supply_cables'],['release'],power_supply_cables,release,release__power_supply_cables
46_4992,46,166.4,11,1,['power_supply_cables'],['decontact'],power_supply_cables,decontact,decontact__power_supply_cables
46_5076,46,169.2,10,1,['power_supply_cables'],['release'],power_supply_cables,release,release__power_supply_cables
46_5472,46,182.4,4,1,['socket_1'],['first_contact'],socket_1,first_contact,first_contact__socket_1
46_5492,46,183.066,4,1,['socket_1'],['decontact'],socket_1,decontact,decontact__socket_1
46_5511,46,183.7,4,1,['power_supply'],['first_contact'],power_supply,first_contact,first_contact__power_supply
46_5595,46,186.5,4,1,['power_supply'],['decontact'],power_supply,decontact,decontact__power_supply
46_5721,46,190.7,10,1,['power_supply_cables'],['take'],power_supply_cables,take,take__power_supply_cables
46_5814,46,193.8,8,1,['low_voltage_board'],['decontact'],low_voltage_board,decontact,decontact__low_voltage_board
46_6149,46,204.966,8,1,['low_voltage_board'],['decontact'],low_voltage_board,decontact,decontact__low_voltage_board
46_6174,46,205.8,9,1,['low_voltage_board'],['first_contact'],low_voltage_board,first_contact,first_contact__low_voltage_board
46_6348,46,211.6,11,1,['low_voltage_board'],['release'],low_voltage_board,release,release__low_voltage_board
46_6753,46,225.1,9,1,['electric_screwdriver'],['take'],electric_screwdriver,take,take__electric_screwdriver
46_7073,46,235.766,8,1,['low_voltage_board'],['decontact'],low_voltage_board,decontact,decontact__low_voltage_board
46_7298,46,243.266,9,1,['low_voltage_board'],['decontact'],low_voltage_board,decontact,decontact__low_voltage_board
46_7524,46,250.8,4,1,['low_voltage_board'],['decontact'],low_voltage_board,decontact,decontact__low_voltage_board
46_7552,46,251.733,6,1,['low_voltage_board'],['first_contact'],low_voltage_board,first_contact,first_contact__low_voltage_board
46_8437,46,281.233,4,1,['low_voltage_board'],['first_contact'],low_voltage_board,first_contact,first_contact__low_voltage_board
46_8748,46,291.6,5,1,['socket_3'],['first_contact'],socket_3,first_contact,first_contact__socket_3
46_8873,46,295.766,6,1,['welder_station'],['first_contact'],welder_station,first_contact,first_contact__welder_station
46_10027,46,334.233,6,1,['welder_probe_tip'],['take'],welder_probe_tip,take,take__welder_probe_tip
46_11841,46,394.7,6,1,['welder_probe_tip'],['take'],welder_probe_tip,take,take__welder_probe_tip
46_12713,46,423.766,7,1,['low_voltage_board'],['first_contact'],low_voltage_board,first_contact,first_contact__low_voltage_board
46_12903,46,430.1,5,1,['welder_station'],['first_contact'],welder_station,first_contact,first_contact__welder_station
46_13495,46,449.833,9,1,['low_voltage_board_screen'],['take'],low_voltage_board_screen,take,take__low_voltage_board_screen
46_13582,46,452.733,10,1,['low_voltage_board'],['take'],low_voltage_board,take,take__low_voltage_board
46_13683,46,456.1,11,1,['low_voltage_board_screen'],['take'],low_voltage_board_screen,take,take__low_voltage_board_screen
46_13761,46,458.7,10,1,['low_voltage_board'],['first_contact'],low_voltage_board,first_contact,first_contact__low_voltage_board
46_14091,46,469.7,8,1,['electric_screwdriver'],['take'],electric_screwdriver,take,take__electric_screwdriver
46_14327,46,477.566,5,1,['low_voltage_board'],['first_contact'],low_voltage_board,first_contact,first_contact__low_voltage_board
46_15132,46,504.4,4,1,['power_supply'],['first_contact'],power_supply,first_contact,first_contact__power_supply
46_15674,46,522.466,7,1,['power_supply_cables'],['take'],power_supply_cables,take,take__power_supply_cables
46_15752,46,525.066,9,1,['low_voltage_board'],['first_contact'],low_voltage_board,first_contact,first_contact__low_voltage_board
46_16417,46,547.233,4,1,['socket_2'],['first_contact'],socket_2,first_contact,first_contact__socket_2
46_16910,46,563.666,4,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
46_17606,46,586.866,8,1,['power_supply_cables'],['first_contact'],power_supply_cables,first_contact,first_contact__power_supply_cables
46_17751,46,591.7,4,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
46_18054,46,601.8,5,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
46_18474,46,615.8,8,1,['oscilloscope_probe_tip'],['take'],oscilloscope_probe_tip,take,take__oscilloscope_probe_tip
46_18487,46,616.233,8,1,['power_supply_cables'],['first_contact'],power_supply_cables,first_contact,first_contact__power_supply_cables
46_18649,46,621.633,3,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
46_19356,46,645.2,8,1,['oscilloscope_probe_tip'],['take'],oscilloscope_probe_tip,take,take__oscilloscope_probe_tip
46_19600,46,653.333,5,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
46_19854,46,661.8,5,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
46_20805,46,693.5,7,1,['power_supply_cables'],['first_contact'],power_supply_cables,first_contact,first_contact__power_supply_cables
46_21051,46,701.7,3,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
46_21244,46,708.133,5,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
46_22049,46,734.966,4,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
46_22072,46,735.733,4,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
46_22288,46,742.933,4,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
46_22407,46,746.9,4,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
46_22611,46,753.7,11,1,['low_voltage_board'],['first_contact'],low_voltage_board,first_contact,first_contact__low_voltage_board
46_22638,46,754.6,11,1,['low_voltage_board'],['decontact'],low_voltage_board,decontact,decontact__low_voltage_board
46_22646,46,754.866,11,1,['oscilloscope_probe_tip'],['take'],oscilloscope_probe_tip,take,take__oscilloscope_probe_tip
46_22834,46,761.133,7,1,['power_supply_cables'],['decontact'],power_supply_cables,decontact,decontact__power_supply_cables
46_23199,46,773.3,7,1,['low_voltage_board'],['first_contact'],low_voltage_board,first_contact,first_contact__low_voltage_board
46_23712,46,790.4,5,1,['low_voltage_board'],['first_contact'],low_voltage_board,first_contact,first_contact__low_voltage_board
46_23899,46,796.633,5,1,['low_voltage_board'],['decontact'],low_voltage_board,decontact,decontact__low_voltage_board
46_24677,46,822.566,3,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
46_24714,46,823.8,4,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
46_24870,46,829.0,5,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
46_24974,46,832.466,5,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
46_25237,46,841.233,3,1,['socket_1'],['first_contact'],socket_1,first_contact,first_contact__socket_1
46_25252,46,841.733,4,1,['socket_1'],['decontact'],socket_1,decontact,decontact__socket_1
46_25273,46,842.433,4,1,['power_supply'],['first_contact'],power_supply,first_contact,first_contact__power_supply
46_25354,46,845.133,4,1,['power_supply'],['decontact'],power_supply,decontact,decontact__power_supply
46_25481,46,849.366,10,1,['oscilloscope_probe_tip'],['take'],oscilloscope_probe_tip,take,take__oscilloscope_probe_tip
46_25659,46,855.3,5,1,['low_voltage_board'],['first_contact'],low_voltage_board,first_contact,first_contact__low_voltage_board
46_25783,46,859.433,8,1,['power_supply_cables'],['release'],power_supply_cables,release,release__power_supply_cables
46_25962,46,865.4,5,1,['oscilloscope'],['first_contact'],oscilloscope,first_contact,first_contact__oscilloscope
46_26219,46,873.966,4,1,['oscilloscope'],['decontact'],oscilloscope,decontact,decontact__oscilloscope
46_26291,46,876.366,4,1,['socket_2'],['first_contact'],socket_2,first_contact,first_contact__socket_2
46_26303,46,876.766,4,1,['socket_2'],['decontact'],socket_2,decontact,decontact__socket_2
46_26417,46,880.566,9,1,['electric_screwdriver'],['take'],electric_screwdriver,take,take__electric_screwdriver
46_26813,46,893.766,10,1,['electric_screwdriver'],['decontact'],electric_screwdriver,decontact,decontact__electric_screwdriver
46_26895,46,896.5,4,1,['low_voltage_board'],['decontact'],low_voltage_board,decontact,decontact__low_voltage_board
46_26924,46,897.466,9,1,['low_voltage_board'],['first_contact'],low_voltage_board,first_contact,first_contact__low_voltage_board
46_26989,46,899.633,9,1,['electric_screwdriver'],['decontact'],electric_screwdriver,decontact,decontact__electric_screwdriver
