frame_key,video_id,timestamp,num_objects_detected,num_interactions,interacting_objects,verbs
44_19849,44,661.633,5,1,['oscilloscope'],['first_contact']
44_19879,44,662.633,4,1,['oscilloscope'],['decontact']
44_20073,44,669.1,4,1,['oscilloscope'],['first_contact']
44_20124,44,670.8,4,1,['oscilloscope'],['decontact']
44_20410,44,680.333,3,1,['socket_1'],['first_contact']
44_20524,44,684.133,4,1,['socket_1'],['decontact']
44_20650,44,688.333,4,1,['power_supply'],['first_contact']
44_20695,44,689.833,3,1,['power_supply'],['decontact']
44_20709,44,690.3,3,1,['power_supply'],['first_contact']
44_20765,44,692.166,3,1,['power_supply'],['decontact']
44_20884,44,696.133,8,1,['power_supply_cables'],['first_contact']
44_20926,44,697.533,10,1,['oscilloscope_ground_clip'],['take']
44_21088,44,702.933,8,1,['oscilloscope_probe_tip'],['release']
44_21102,44,703.4,8,1,['power_supply_cables'],['take']
44_21134,44,704.466,9,1,['power_supply_cables'],['release']
44_21146,44,704.866,8,1,['power_supply_cables'],['take']
44_21171,44,705.7,8,1,['high_voltage_board'],['decontact']
44_21372,44,712.4,6,1,['oscilloscope'],['first_contact']
44_21391,44,713.033,4,1,['oscilloscope'],['decontact']
44_21427,44,714.233,6,1,['oscilloscope'],['first_contact']
44_21465,44,715.5,5,1,['oscilloscope'],['decontact']
44_21492,44,716.4,4,1,['socket_2'],['first_contact']
44_21507,44,716.9,4,1,['socket_2'],['decontact']
44_21892,44,729.733,5,1,['high_voltage_board'],['decontact']
44_22169,44,738.966,2,1,['socket_4'],['first_contact']
44_22198,44,739.933,3,1,['socket_4'],['decontact']
44_22209,44,740.3,2,1,['socket_3'],['first_contact']
44_22248,44,741.6,4,1,['socket_3'],['decontact']
44_22337,44,744.566,7,1,['welder_station'],['first_contact']
44_22728,44,757.6,7,1,['welder_station'],['decontact']
44_23488,44,782.933,6,1,['welder_probe_tip'],['take']
44_24350,44,811.666,6,1,['welder_probe_tip'],['release']
44_25767,44,858.9,8,1,['welder_probe_tip'],['release']
44_25881,44,862.7,8,1,['pliers'],['decontact']
44_26001,44,866.7,8,1,['welder_station'],['first_contact']
44_26141,44,871.366,7,1,['welder_station'],['decontact']
44_26249,44,874.966,4,1,['socket_3'],['first_contact']
44_26268,44,875.6,4,1,['socket_3'],['decontact']
44_26481,44,882.7,6,1,['high_voltage_board'],['decontact']
44_26501,44,883.366,7,1,['electric_screwdriver'],['take']
44_26716,44,890.533,5,1,['high_voltage_board'],['first_contact']
44_26897,44,896.566,6,2,"['high_voltage_board', 'electric_screwdriver']","['decontact', 'contact']"
44_26934,44,897.8,5,3,"['high_voltage_board', 'electric_screwdriver', 'electric_screwdriver']","['first_contact', 'contact', 'contact']"
44_27093,44,903.1,10,1,['electric_screwdriver'],['release']
44_27163,44,905.433,4,1,['socket_1'],['first_contact']
44_27179,44,905.966,4,1,['socket_1'],['decontact']
44_27288,44,909.6,4,1,['power_supply'],['first_contact']
44_27377,44,912.566,3,1,['power_supply'],['decontact']
44_27440,44,914.666,3,1,['power_supply'],['first_contact']
44_27652,44,921.733,3,1,['power_supply'],['decontact']
44_27793,44,926.433,6,1,['high_voltage_board'],['first_contact']
44_27837,44,927.9,8,2,"['power_supply_cables', 'high_voltage_board']","['release', 'contact']"
44_27913,44,930.433,9,1,['high_voltage_board'],['decontact']
44_28188,44,939.6,3,1,['socket_2'],['first_contact']
44_28213,44,940.433,3,1,['socket_2'],['decontact']
44_28579,44,952.633,5,1,['oscilloscope'],['first_contact']
44_28665,44,955.5,6,1,['oscilloscope'],['decontact']
44_28966,44,965.533,7,1,['high_voltage_board'],['first_contact']
44_29014,44,967.133,8,1,['high_voltage_board'],['decontact']
44_29591,44,986.366,4,1,['oscilloscope'],['decontact']
44_30011,44,1000.366,5,1,['oscilloscope'],['first_contact']
44_30029,44,1000.966,4,1,['oscilloscope'],['decontact']
44_30317,44,1010.566,5,1,['oscilloscope'],['first_contact']
44_30345,44,1011.5,4,1,['oscilloscope'],['decontact']
44_30650,44,1021.666,9,1,['oscilloscope_probe_tip'],['release']
44_30686,44,1022.866,5,1,['oscilloscope'],['first_contact']
44_30711,44,1023.7,4,1,['oscilloscope'],['decontact']
44_30967,44,1032.233,5,1,['oscilloscope'],['first_contact']
44_31052,44,1035.066,4,1,['oscilloscope'],['decontact']
44_31393,44,1046.433,5,1,['oscilloscope'],['first_contact']
44_31413,44,1047.099,5,1,['oscilloscope'],['decontact']
44_31651,44,1055.033,5,1,['oscilloscope'],['first_contact']
44_31712,44,1057.066,5,1,['oscilloscope'],['decontact']
44_32028,44,1067.6,5,1,['oscilloscope'],['first_contact']
44_32053,44,1068.433,5,1,['oscilloscope'],['decontact']
44_32278,44,1075.933,5,1,['oscilloscope'],['first_contact']
44_32349,44,1078.3,4,1,['oscilloscope'],['decontact']
44_32747,44,1091.566,5,1,['oscilloscope'],['first_contact']
44_32764,44,1092.133,5,1,['oscilloscope'],['decontact']
44_33018,44,1100.6,5,1,['oscilloscope'],['decontact']
44_33258,44,1108.6,4,1,['socket_2'],['first_contact']
44_33366,44,1112.2,3,1,['socket_2'],['decontact']
44_33498,44,1116.6,4,1,['socket_1'],['first_contact']
44_33521,44,1117.366,3,1,['socket_1'],['decontact']
44_33614,44,1120.466,4,1,['power_supply'],['first_contact']
44_33717,44,1123.9,3,1,['power_supply'],['decontact']
44_33959,44,1131.966,7,1,['high_voltage_board'],['decontact']
44_33992,44,1133.066,8,1,['oscilloscope_probe_tip'],['take']
44_34089,44,1136.3,8,2,"['oscilloscope_probe_tip', 'power_supply_cables']","['release', 'contact']"
44_34123,44,1137.433,8,1,['power_supply_cables'],['take']
44_34169,44,1138.966,8,2,"['high_voltage_board', 'power_supply_cables']","['decontact', 'contact']"
44_34398,44,1146.6,6,1,['oscilloscope'],['first_contact']
44_34427,44,1147.566,4,1,['oscilloscope'],['decontact']
44_34482,44,1149.4,5,1,['oscilloscope'],['decontact']
44_34511,44,1150.366,3,1,['socket_2'],['first_contact']
44_34558,44,1151.933,4,1,['socket_2'],['decontact']
44_34771,44,1159.033,7,2,"['high_voltage_board', 'electric_screwdriver']","['first_contact', 'contact']"
44_34821,44,1160.7,6,1,['high_voltage_board'],['decontact']
44_34848,44,1161.6,7,2,"['high_voltage_board', 'electric_screwdriver']","['first_contact', 'contact']"
44_34862,44,1162.066,8,1,['high_voltage_board'],['decontact']
44_34878,44,1162.6,6,2,"['high_voltage_board', 'electric_screwdriver']","['first_contact', 'contact']"
44_34951,44,1165.033,7,1,['high_voltage_board'],['take']
44_36481,44,1216.033,4,1,['socket_4'],['first_contact']
44_36504,44,1216.8,4,1,['socket_4'],['decontact']
44_36707,44,1223.566,3,1,['register'],['first_contact']
44_37252,44,1241.733,3,1,['register'],['decontact']
44_37529,44,1250.966,5,1,['left_red_button'],['first_contact']
44_37551,44,1251.7,4,1,['left_red_button'],['decontact']
44_37565,44,1252.166,4,1,['right_red_button'],['first_contact']
44_37576,44,1252.533,4,1,['right_red_button'],['decontact']
46_842,46,28.066,4,1,['left_green_button'],['first_contact']
46_856,46,28.533,4,1,['left_green_button'],['decontact']
46_881,46,29.366,4,1,['right_green_button'],['first_contact']
46_890,46,29.666,5,1,['right_green_button'],['decontact']
46_1465,46,48.833,13,1,['low_voltage_board'],['take']
46_1760,46,58.666,7,1,['battery_connector'],['take']
46_1814,46,60.466,7,2,"['battery_connector', 'electric_screwdriver_battery']","['release', 'contact']"
46_1815,46,60.5,7,1,['electric_screwdriver_battery'],['take']
46_1853,46,61.766,8,1,['electric_screwdriver'],['take']
46_1954,46,65.133,9,1,['electric_screwdriver'],['first_contact']
46_2037,46,67.9,7,1,['electric_screwdriver'],['decontact']
46_2202,46,73.4,9,2,"['electric_screwdriver', 'electric_screwdriver']","['first_contact', 'first_contact']"
46_2494,46,83.133,8,1,['low_voltage_board'],['take']
46_2644,46,88.133,9,1,['low_voltage_board'],['release']
46_2709,46,90.3,9,1,['low_voltage_board'],['first_contact']
46_2759,46,91.966,9,1,['low_voltage_board'],['decontact']
46_2789,46,92.966,9,1,['electric_screwdriver'],['take']
46_3122,46,104.066,8,1,['low_voltage_board'],['first_contact']
46_3425,46,114.166,10,2,"['electric_screwdriver', 'electric_screwdriver']","['first_contact', 'first_contact']"
46_3434,46,114.466,9,1,['low_voltage_board'],['first_contact']
46_3873,46,129.1,4,1,['socket_1'],['first_contact']
46_3885,46,129.5,4,1,['socket_1'],['decontact']
46_4077,46,135.9,4,1,['power_supply'],['first_contact']
46_4517,46,150.566,4,1,['power_supply'],['decontact']
46_4644,46,154.8,10,1,['power_supply_cables'],['take']
46_4800,46,160.0,10,2,"['low_voltage_board', 'power_supply_cables']","['first_contact', 'contact']"
46_4831,46,161.033,11,2,"['power_supply_cables', 'power_supply_cables']","['take', 'contact']"
46_4967,46,165.566,11,2,"['power_supply_cables', 'power_supply_cables']","['first_contact', 'first_contact']"
46_4971,46,165.7,11,1,['power_supply_cables'],['release']
46_4992,46,166.4,11,1,['power_supply_cables'],['decontact']
46_5069,46,168.966,10,2,"['low_voltage_board', 'power_supply_cables']","['decontact', 'contact']"
46_5076,46,169.2,10,1,['power_supply_cables'],['release']
46_5472,46,182.4,4,1,['socket_1'],['first_contact']
46_5492,46,183.066,4,1,['socket_1'],['decontact']
46_5511,46,183.7,4,1,['power_supply'],['first_contact']
46_5595,46,186.5,4,1,['power_supply'],['decontact']
46_5721,46,190.7,10,1,['power_supply_cables'],['take']
46_5814,46,193.8,8,1,['low_voltage_board'],['decontact']
46_6043,46,201.433,6,2,"['low_voltage_board', 'electric_screwdriver']","['first_contact', 'contact']"
46_6149,46,204.966,8,1,['low_voltage_board'],['decontact']
46_6172,46,205.733,10,2,"['electric_screwdriver', 'electric_screwdriver']","['first_contact', 'first_contact']"
46_6174,46,205.8,9,1,['low_voltage_board'],['first_contact']
46_6348,46,211.6,11,1,['low_voltage_board'],['release']
46_6753,46,225.1,9,1,['electric_screwdriver'],['take']
46_7073,46,235.766,8,1,['low_voltage_board'],['decontact']
46_7298,46,243.266,9,1,['low_voltage_board'],['decontact']
46_7524,46,250.8,4,1,['low_voltage_board'],['decontact']
46_7552,46,251.733,6,1,['low_voltage_board'],['first_contact']
46_7789,46,259.633,8,2,"['low_voltage_board', 'low_voltage_board']","['first_contact', 'first_contact']"
46_8437,46,281.233,4,1,['low_voltage_board'],['first_contact']
46_8748,46,291.6,5,1,['socket_3'],['first_contact']
46_8873,46,295.766,6,1,['welder_station'],['first_contact']
46_8960,46,298.666,6,2,"['welder_station', 'welder_station']","['first_contact', 'first_contact']"
46_10027,46,334.233,6,1,['welder_probe_tip'],['take']
46_11841,46,394.7,6,1,['welder_probe_tip'],['take']
46_12713,46,423.766,7,1,['low_voltage_board'],['first_contact']
46_12903,46,430.1,5,1,['welder_station'],['first_contact']
46_13495,46,449.833,9,1,['low_voltage_board_screen'],['take']
46_13582,46,452.733,10,1,['low_voltage_board'],['take']
46_13683,46,456.1,11,1,['low_voltage_board_screen'],['take']
46_13761,46,458.7,10,1,['low_voltage_board'],['first_contact']
46_13891,46,463.033,10,2,"['low_voltage_board', 'low_voltage_board']","['first_contact', 'first_contact']"
46_14091,46,469.7,8,1,['electric_screwdriver'],['take']
46_14327,46,477.566,5,1,['low_voltage_board'],['first_contact']
46_15132,46,504.4,4,1,['power_supply'],['first_contact']
46_15674,46,522.466,7,1,['power_supply_cables'],['take']
46_15752,46,525.066,9,1,['low_voltage_board'],['first_contact']
46_15981,46,532.7,9,2,"['power_supply_cables', 'power_supply_cables']","['take', 'contact']"
46_16004,46,533.466,8,2,"['low_voltage_board', 'power_supply_cables']","['first_contact', 'contact']"
46_16417,46,547.233,4,1,['socket_2'],['first_contact']
46_16910,46,563.666,4,1,['oscilloscope'],['first_contact']
46_17606,46,586.866,8,1,['power_supply_cables'],['first_contact']
46_17751,46,591.7,4,1,['oscilloscope'],['first_contact']
46_18054,46,601.8,5,1,['oscilloscope'],['first_contact']
46_18474,46,615.8,8,1,['oscilloscope_probe_tip'],['take']
46_18487,46,616.233,8,1,['power_supply_cables'],['first_contact']
46_18649,46,621.633,3,1,['oscilloscope'],['first_contact']
46_19356,46,645.2,8,1,['oscilloscope_probe_tip'],['take']
46_19600,46,653.333,5,1,['oscilloscope'],['first_contact']
46_19854,46,661.8,5,1,['oscilloscope'],['first_contact']
46_20449,46,681.633,7,2,"['low_voltage_board', 'oscilloscope_probe_tip']","['first_contact', 'contact']"
46_20805,46,693.5,7,1,['power_supply_cables'],['first_contact']
46_21051,46,701.7,3,1,['oscilloscope'],['first_contact']
46_21244,46,708.133,5,1,['oscilloscope'],['first_contact']
46_22049,46,734.966,4,1,['oscilloscope'],['first_contact']
46_22072,46,735.733,4,1,['oscilloscope'],['decontact']
46_22288,46,742.933,4,1,['oscilloscope'],['first_contact']
46_22407,46,746.9,4,1,['oscilloscope'],['decontact']
46_22611,46,753.7,11,1,['low_voltage_board'],['first_contact']
46_22638,46,754.6,11,1,['low_voltage_board'],['decontact']
46_22646,46,754.866,11,1,['oscilloscope_probe_tip'],['take']
46_22834,46,761.133,7,1,['power_supply_cables'],['decontact']
46_23199,46,773.3,7,1,['low_voltage_board'],['first_contact']
46_23447,46,781.566,6,2,"['low_voltage_board', 'oscilloscope_probe_tip']","['first_contact', 'contact']"
46_23712,46,790.4,5,1,['low_voltage_board'],['first_contact']
46_23899,46,796.633,5,1,['low_voltage_board'],['decontact']
46_24677,46,822.566,3,1,['oscilloscope'],['first_contact']
46_24714,46,823.8,4,1,['oscilloscope'],['decontact']
46_24870,46,829.0,5,1,['oscilloscope'],['first_contact']
46_24974,46,832.466,5,1,['oscilloscope'],['decontact']
46_25237,46,841.233,3,1,['socket_1'],['first_contact']
46_25252,46,841.733,4,1,['socket_1'],['decontact']
46_25273,46,842.433,4,1,['power_supply'],['first_contact']
46_25354,46,845.133,4,1,['power_supply'],['decontact']
46_25481,46,849.366,10,1,['oscilloscope_probe_tip'],['take']
46_25517,46,850.566,7,2,"['oscilloscope_ground_clip', 'oscilloscope_probe_tip']","['first_contact', 'contact']"
46_25536,46,851.2,7,3,"['oscilloscope_ground_clip', 'oscilloscope_ground_clip', 'oscilloscope_probe_tip']","['take', 'take', 'contact']"
46_25585,46,852.833,8,2,"['power_supply_cables', 'power_supply_cables']","['decontact', 'contact']"
46_25633,46,854.433,10,2,"['oscilloscope_ground_clip', 'oscilloscope_probe_tip']","['release', 'release']"
46_25659,46,855.3,5,1,['low_voltage_board'],['first_contact']
46_25780,46,859.333,6,2,"['power_supply_cables', 'power_supply_cables']","['release', 'contact']"
46_25783,46,859.433,8,1,['power_supply_cables'],['release']
46_25962,46,865.4,5,1,['oscilloscope'],['first_contact']
46_26219,46,873.966,4,1,['oscilloscope'],['decontact']
46_26291,46,876.366,4,1,['socket_2'],['first_contact']
46_26303,46,876.766,4,1,['socket_2'],['decontact']
46_26417,46,880.566,9,1,['electric_screwdriver'],['take']
46_26525,46,884.166,5,3,"['low_voltage_board', 'electric_screwdriver', 'electric_screwdriver']","['first_contact', 'contact', 'contact']"
46_26813,46,893.766,10,1,['electric_screwdriver'],['decontact']
46_26895,46,896.5,4,1,['low_voltage_board'],['decontact']
46_26924,46,897.466,9,1,['low_voltage_board'],['first_contact']
46_26989,46,899.633,9,1,['electric_screwdriver'],['decontact']
46_27319,46,910.633,4,1,['socket_3'],['first_contact']
46_27331,46,911.033,4,1,['socket_3'],['decontact']
46_27406,46,913.533,6,1,['welder_station'],['first_contact']
46_27722,46,924.066,6,1,['welder_station'],['decontact']
46_28191,46,939.7,10,1,['low_voltage_board'],['take']
46_29155,46,971.833,6,1,['welder_probe_tip'],['release']
46_29233,46,974.433,9,1,['low_voltage_board'],['first_contact']
46_29267,46,975.566,5,1,['low_voltage_board'],['take']
46_29536,46,984.533,5,1,['welder_probe_tip'],['take']
46_30301,46,1010.033,6,1,['welder_probe_tip'],['release']
46_30707,46,1023.566,7,1,['welder_station'],['decontact']
46_30836,46,1027.866,5,1,['socket_3'],['first_contact']
46_30852,46,1028.4,5,1,['socket_3'],['decontact']
46_31019,46,1033.966,10,1,['low_voltage_board_screen'],['take']
46_31322,46,1044.066,6,2,"['low_voltage_board_screen', 'low_voltage_board_screen']","['first_contact', 'first_contact']"
46_31562,46,1052.066,7,1,['low_voltage_board'],['take']
46_32268,46,1075.6,4,3,"['low_voltage_board_screen', 'low_voltage_board', 'low_voltage_board_screen']","['first_contact', 'first_contact', 'contact']"
46_32296,46,1076.533,3,2,"['low_voltage_board', 'low_voltage_board']","['first_contact', 'first_contact']"
46_33047,46,1101.566,10,1,['electric_screwdriver'],['take']
46_33358,46,1111.933,6,1,['low_voltage_board'],['first_contact']
46_33431,46,1114.366,5,1,['low_voltage_board'],['decontact']
46_33496,46,1116.533,1,1,['low_voltage_board'],['take']
46_33569,46,1118.966,10,2,"['low_voltage_board_screen', 'low_voltage_board_screen']","['first_contact', 'first_contact']"
46_34089,46,1136.3,2,1,['low_voltage_board'],['decontact']
46_34152,46,1138.4,1,2,"['low_voltage_board', 'low_voltage_board']","['first_contact', 'first_contact']"
46_34302,46,1143.4,9,1,['electric_screwdriver'],['take']
46_35521,46,1184.033,2,1,['low_voltage_board'],['decontact']
46_35543,46,1184.766,12,1,['electric_screwdriver'],['take']
46_35896,46,1196.533,9,2,"['low_voltage_board', 'low_voltage_board']","['first_contact', 'first_contact']"
46_37740,46,1258.0,8,1,['screwdriver'],['take']
46_38617,46,1287.233,9,2,"['low_voltage_board', 'low_voltage_board_screen']","['first_contact', 'contact']"
46_38963,46,1298.766,8,1,['low_voltage_board'],['take']
46_39124,46,1304.133,10,1,['low_voltage_board'],['first_contact']
46_39295,46,1309.833,7,1,['low_voltage_board'],['decontact']
46_39314,46,1310.466,7,1,['electric_screwdriver'],['take']
46_39507,46,1316.9,9,1,['low_voltage_board'],['first_contact']
46_39566,46,1318.866,6,1,['low_voltage_board'],['decontact']
46_39644,46,1321.466,6,1,['low_voltage_board'],['first_contact']
46_40116,46,1337.2,4,1,['socket_1'],['first_contact']
46_40129,46,1337.633,4,1,['socket_1'],['decontact']
46_40271,46,1342.366,4,1,['power_supply'],['first_contact']
46_40691,46,1356.366,4,1,['power_supply'],['decontact']
46_40778,46,1359.266,11,1,['low_voltage_board'],['first_contact']
46_40860,46,1362.0,11,1,['power_supply_cables'],['release']
46_40954,46,1365.133,9,1,['low_voltage_board'],['decontact']
46_40962,46,1365.4,9,1,['power_supply_cables'],['release']
46_41232,46,1374.4,4,1,['socket_2'],['first_contact']
46_41246,46,1374.866,4,1,['socket_2'],['decontact']
46_41357,46,1378.566,7,1,['oscilloscope'],['first_contact']
46_41597,46,1386.566,5,1,['oscilloscope'],['decontact']
46_41824,46,1394.133,10,2,"['power_supply_cables', 'oscilloscope_probe_tip']","['first_contact', 'contact']"
46_42058,46,1401.933,9,2,"['power_supply_cables', 'oscilloscope_probe_tip']","['first_contact', 'contact']"
46_42265,46,1408.833,4,1,['oscilloscope'],['first_contact']
46_42289,46,1409.633,4,1,['oscilloscope'],['decontact']
46_42522,46,1417.4,5,1,['oscilloscope'],['decontact']
46_42895,46,1429.833,10,1,['oscilloscope_probe_tip'],['take']
46_43029,46,1434.3,9,1,['oscilloscope_probe_tip'],['release']
46_43074,46,1435.8,3,1,['oscilloscope'],['first_contact']
46_43098,46,1436.6,4,1,['oscilloscope'],['decontact']
46_43280,46,1442.666,4,1,['oscilloscope'],['first_contact']
46_43419,46,1447.3,4,1,['oscilloscope'],['decontact']
46_43815,46,1460.5,3,1,['oscilloscope'],['first_contact']
46_43837,46,1461.233,4,1,['oscilloscope'],['decontact']
46_43964,46,1465.466,5,1,['oscilloscope'],['first_contact']
46_44049,46,1468.3,5,1,['oscilloscope'],['decontact']
46_44335,46,1477.833,8,2,"['oscilloscope_probe_tip', 'oscilloscope_probe_tip']","['first_contact', 'first_contact']"
46_44906,46,1496.866,3,1,['oscilloscope'],['first_contact']
46_44936,46,1497.866,4,1,['oscilloscope'],['decontact']
46_45006,46,1500.2,3,1,['oscilloscope'],['first_contact']
46_45255,46,1508.5,4,1,['oscilloscope'],['decontact']
46_45556,46,1518.533,4,1,['oscilloscope'],['first_contact']
46_45586,46,1519.533,4,1,['oscilloscope'],['decontact']
46_45728,46,1524.266,4,1,['oscilloscope'],['first_contact']
46_45873,46,1529.1,4,1,['oscilloscope'],['decontact']
46_46103,46,1536.766,10,2,"['power_supply_cables', 'oscilloscope_probe_tip']","['decontact', 'contact']"
46_46537,46,1551.233,8,2,"['low_voltage_board', 'oscilloscope_probe_tip']","['first_contact', 'contact']"
46_47586,46,1586.2,7,1,['low_voltage_board'],['first_contact']
46_47817,46,1593.9,4,1,['oscilloscope'],['first_contact']
46_47840,46,1594.666,5,1,['oscilloscope'],['decontact']
46_47898,46,1596.6,3,1,['oscilloscope'],['first_contact']
46_48002,46,1600.066,5,1,['oscilloscope'],['decontact']
46_48295,46,1609.833,4,1,['socket_1'],['first_contact']
46_48311,46,1610.366,4,1,['socket_1'],['decontact']
46_48330,46,1611.0,4,1,['power_supply'],['first_contact']
46_48405,46,1613.5,4,1,['power_supply'],['decontact']
46_48515,46,1617.166,12,1,['oscilloscope_probe_tip'],['take']
46_48557,46,1618.566,9,2,"['power_supply_cables', 'oscilloscope_probe_tip']","['first_contact', 'contact']"
46_48567,46,1618.9,9,2,"['oscilloscope_ground_clip', 'oscilloscope_ground_clip']","['take', 'take']"
46_48599,46,1619.966,7,1,['power_supply_cables'],['decontact']
46_48679,46,1622.633,7,2,"['oscilloscope_ground_clip', 'oscilloscope_probe_tip']","['release', 'release']"
46_48857,46,1628.566,8,2,"['low_voltage_board', 'power_supply_cables']","['decontact', 'contact']"
46_49027,46,1634.233,5,1,['oscilloscope'],['first_contact']
46_49047,46,1634.9,5,1,['oscilloscope'],['decontact']
46_49075,46,1635.833,5,1,['oscilloscope'],['first_contact']
46_49110,46,1637.0,5,1,['oscilloscope'],['decontact']
46_49202,46,1640.066,4,1,['socket_2'],['decontact']
46_49319,46,1643.966,9,1,['electric_screwdriver'],['take']
46_49454,46,1648.466,9,2,"['electric_screwdriver', 'electric_screwdriver']","['first_contact', 'first_contact']"
46_49458,46,1648.6,8,3,"['low_voltage_board', 'electric_screwdriver', 'electric_screwdriver']","['first_contact', 'contact', 'contact']"
46_49609,46,1653.633,7,2,"['low_voltage_board', 'electric_screwdriver']","['decontact', 'contact']"
46_49621,46,1654.033,9,2,"['electric_screwdriver', 'electric_screwdriver']","['first_contact', 'first_contact']"
46_50002,46,1666.733,9,1,['low_voltage_board'],['decontact']
46_50341,46,1678.033,8,1,['low_voltage_board'],['first_contact']
46_50570,46,1685.666,10,1,['electric_screwdriver'],['take']
46_50635,46,1687.833,6,2,"['electric_screwdriver', 'electric_screwdriver']","['first_contact', 'first_contact']"
46_50698,46,1689.933,8,1,['electric_screwdriver'],['decontact']
46_50810,46,1693.666,9,2,"['electric_screwdriver', 'electric_screwdriver']","['first_contact', 'first_contact']"
46_51034,46,1701.133,10,1,['electric_screwdriver'],['take']
46_51290,46,1709.666,7,1,['electric_screwdriver'],['release']
46_51454,46,1715.133,4,1,['socket_4'],['decontact']
46_51560,46,1718.666,14,1,['screwdriver'],['first_contact']
46_51687,46,1722.9,5,1,['register'],['first_contact']
